#x, y, z, milliseconds, timeInMilliseconds
408.75, 429.15, -56.1, 221, 221
408.45, 430.2, -58.2, 218, 218
406.95, 430.5, -57.75, 220, 220
407.25, 429.75, -55.2, 219, 220
407.55, 430.8, -55.35, 220, 221
408.15, 429, -56.7, 221, 220
407.25, 429.45, -56.25, 218, 218
406.65, 430.35, -56.4, 226, 227
408.15, 430.95, -55.2, 214, 213
406.95, 429.75, -55.95, 219, 218
408.15, 430.95, -56.25, 221, 221
408.45, 430.95, -57.45, 220, 220
407.7, 429.75, -56.25, 218, 218
408.75, 429.9, -55.65, 220, 219
408.9, 430.95, -55.2, 219, 219
409.35, 430.2, -55.5, 221, 221
407.85, 429.15, -58.05, 218, 218
408.15, 430.2, -55.95, 229, 232
407.25, 431.7, -56.25, 210, 208
407.25, 430.2, -55.5, 219, 219
408.15, 430.5, -56.25, 220, 221
408.9, 429.75, -55.2, 218, 218
407.1, 429.15, -55.35, 220, 220
409.35, 431.25, -56.7, 220, 220
408.45, 430.5, -56.7, 219, 219
407.1, 429.9, -55.65, 220, 220
407.25, 431.25, -56.25, 220, 221
409.05, 430.35, -55.65, 228, 228
408.15, 428.55, -57.45, 210, 210
407.85, 430.8, -56.85, 219, 219
409.05, 429.6, -56.85, 221, 220
406.65, 430.35, -56.1, 219, 219
409.05, 431.1, -57.3, 220, 220
409.95, 430.8, -56.4, 219, 218
407.25, 430.95, -54.75, 219, 219
407.85, 431.1, -56.4, 221, 221
407.85, 429.6, -56.4, 218, 218
409.05, 429.9, -55.35, 219, 219
408.15, 432.15, -56.7, 220, 221
409.35, 428.55, -55.95, 219, 219
