#x, y, z, sqrtSum, milliseconds, timeInMilliseconds
9.83115, -0.767483, -0.204191, 9.86318, 83, 81
9.80945, -0.764478, -0.189092, 9.84101, 86, 85
9.77581, -0.778751, -0.203385, 9.80889, 84, 85
9.80274, -0.770487, -0.209442, 9.8352, 84, 82
9.80469, -0.772168, -0.198119, 9.83704, 82, 84
9.81472, -0.759967, -0.225287, 9.84667, 86, 85
9.85583, -0.756214, -0.204969, 9.88692, 84, 83
9.80171, -0.766908, -0.21018, 9.83391, 82, 82
9.80244, -0.77292, -0.196609, 9.83483, 83, 83
9.78224, -0.779681, -0.18905, 9.81509, 85, 85
9.77179, -0.781182, -0.202612, 9.80505, 83, 83
9.78777, -0.777249, -0.20038, 9.82063, 85, 85
9.81245, -0.769737, -0.196634, 9.84456, 83, 82
9.8237, -0.74419, -0.230575, 9.85454, 85, 85
9.84462, -0.771991, -0.208727, 9.87704, 85, 84
9.80199, -0.763725, -0.20718, 9.83388, 83, 83
9.8017, -0.777427, -0.203394, 9.83459, 83, 84
9.78776, -0.781006, -0.188316, 9.82068, 85, 85
9.78076, -0.776674, -0.208652, 9.81377, 83, 84
9.82068, -0.748699, -0.207953, 9.85138, 84, 84
9.84759, -0.750204, -0.193652, 9.87803, 82, 82
9.82817, -0.732921, -0.214746, 9.8578, 85, 86
9.83338, -0.756215, -0.189115, 9.86423, 84, 84
9.78973, -0.764654, -0.197352, 9.82153, 83, 84
9.78749, -0.776675, -0.205642, 9.82041, 83, 83
9.79899, -0.775746, -0.201144, 9.83171, 90, 90
9.79899, -0.764477, -0.201899, 9.83084, 79, 79
9.83339, -0.754711, -0.201178, 9.86436, 85, 85
9.83265, -0.766732, -0.203438, 9.86459, 83, 82
9.80873, -0.753206, -0.217743, 9.84001, 85, 86
9.79497, -0.774421, -0.203388, 9.82764, 83, 81
9.80317, -0.764656, -0.180023, 9.8346, 84, 85
9.79796, -0.777427, -0.200374, 9.83079, 83, 84
9.81143, -0.769162, -0.208681, 9.84374, 86, 85
9.83086, -0.750381, -0.201915, 9.86153, 83, 82
9.82712, -0.7609, -0.195125, 9.85846, 85, 85
9.83087, -0.754888, -0.213224, 9.86212, 84, 84
9.7987, -0.759395, -0.198115, 9.83008, 84, 84
9.78525, -0.781934, -0.204132, 9.81856, 83, 83
9.79346, -0.772919, -0.192831, 9.82581, 85, 84
9.80768, -0.758644, -0.204155, 9.8391, 82, 82
9.82414, -0.764655, -0.207939, 9.85604, 86, 86
9.82713, -0.752634, -0.205681, 9.85805, 83, 83
9.82638, -0.76691, -0.201155, 9.85831, 85, 85
9.8062, -0.762399, -0.219232, 9.83824, 89, 89
9.78777, -0.759969, -0.196612, 9.8192, 77, 78
